title	isbn	author_first_name	author_last_name	author_website	publisher	publication_year	acquisition_date	acquisition_price
Pressure Should Old	1-953782-67-1	Matthew	Brown		Ruiz, Herrera and Knox	1970	1973-06-23	$5.32
Pressure Should Old	1-953782-67-1	Matthew	Brown		Ruiz, Herrera and Knox	1970	1999-08-03	$9.66
Employee Soldier Plant They	0-7763-3706-8	Mark	Smith		Hawkins-Jackson	1942	1986-02-27	$13.83
Employee Soldier Plant They	0-7763-3706-8	Mark	Smith		Hawkins-Jackson	1942	2021-04-13	$14.61
Employee Soldier Plant They	1-00-667291-5	Mark	Smith		Hawkins-Jackson	1994	2011-04-24	$10.63
Again Win Financial Artist	0-310-10201-4	Melissa	King	http://king.org	Bailey-Norman	2010	2013-09-26	$7.39
Blue Relate Strategy Next	1-62318-960-8	Monique	Maynard	https://maynard.biz	Faulkner-Taylor	1916	2015-05-02	$6.10
Blue Relate Strategy Next	1-62318-960-8	Monique	Maynard	https://maynard.biz	Faulkner-Taylor	1916	1921-03-08	$14.39
Blue Relate Strategy Next	0-923134-36-0	Monique	Maynard	https://maynard.biz	Faulkner-Taylor	1917	1968-09-27	$3.14
Blue Relate Strategy Next	0-923134-36-0	Monique	Maynard	https://maynard.biz	Faulkner-Taylor	1917	2006-12-06	$1.00
Blue Relate Strategy Next	1-4325-5941-9	Monique	Maynard	https://maynard.biz	Faulkner-Taylor	1929	1976-10-09	$12.75
Blue Relate Strategy Next	1-4325-5941-9	Monique	Maynard	https://maynard.biz	Faulkner-Taylor	1929	1993-11-29	$10.82
Blue Relate Strategy Next	1-4325-5941-9	Monique	Maynard	https://maynard.biz	Faulkner-Taylor	1929	1951-03-06	$3.14
Blue Relate Strategy Next	1-84389-227-8	Monique	Maynard	https://maynard.biz	Faulkner-Taylor	1967	1992-08-17	$9.12
City Entire To Movement	1-315-49972-X	Jeff	James	https://james.info	Bailey-Norman	2005	2012-07-02	$0.66
Produce Financial Anything	1-70157-148-X	Rebecca	Wyatt	http://wyatt.org	Ruiz, Herrera and Knox	1978	1993-05-11	$12.86
Performance People Why Since	1-878497-00-6	Lee	Gaines	http://gaines.info	Ruiz, Herrera and Knox	1948	1948-05-04	$3.48
Performance People Why Since	1-878497-00-6	Lee	Gaines	http://gaines.info	Ruiz, Herrera and Knox	1948	1967-10-11	$7.67
Bar Since Draw	1-07-065852-9	Jacqueline	Davis	https://davis.com	Obrien-Martin	1963	2019-09-01	$11.20
Bar Since Draw	1-07-065852-9	Jacqueline	Davis	https://davis.com	Obrien-Martin	1963	1963-09-23	$1.03
Husband Stage Fish Pass	1-82806-107-7	Monica	Lewis		Ruiz, Herrera and Knox	1927	1982-10-24	$9.92
Accept Or Few Create The	1-127-60679-4	Jay	Marshall		Bailey-Norman	1932	1966-09-29	$14.34
Yourself Player Street Drug	1-5105-6191-9	Kristin	Brown		Hughes PLC	1970	1986-09-01	$3.21
One Another Than Production	0-02-613674-0	Sally	Guzman	http://guzman.net	Abbott Group	1961	1996-10-02	$10.36
One Another Than Production	0-616-16286-3	Sally	Guzman	http://guzman.net	Abbott Group	1987	1990-03-27	$7.24
One Another Than Production	0-616-16286-3	Sally	Guzman	http://guzman.net	Abbott Group	1987	1991-08-15	$6.16
Somebody Sit Sea Police	1-879857-94-4	Patrick	Frazier	http://patrickfrazier.info	Faulkner-Taylor	1995	1998-09-23	$12.01
Somebody Sit Sea Police	1-879857-94-4	Patrick	Frazier	http://patrickfrazier.info	Faulkner-Taylor	1995	2010-02-20	$3.52
Somebody Sit Sea Police	1-879857-94-4	Patrick	Frazier	http://patrickfrazier.info	Faulkner-Taylor	1995	2009-07-14	$1.24
Somebody Sit Sea Police	1-343-96027-4	Patrick	Frazier	http://patrickfrazier.info	Greene, Patel and Kent	1999	1999-11-14	$13.29
Issue Effect Reach	0-10-490081-4	Valerie	Koch	http://koch.com	Bailey-Norman	1930	1988-08-15	$2.02
