id	Title	Author Last Name	Author First Name	Author Website	Publisher	Publication Year	Media	Page Count	Languages	LC Classification	ISBN	Dewey Decimal	Dewey Wording	Barcode	Acquisition Date	Acquisition Price
1	Black Powder War	Novik	Naomi	http://naominovik.com/	Harper Voyager	2007	Paperback	368	English	PS3614.O93 B53	9780007219179	813.6	21st Century > American fiction > English (North America) > Literature	B9F0FC8C3E8096DEACA8F0625D9D545C	2019-02-26	19.24
2	Black Powder War	Novik	Naomi	http://naominovik.com/	Harper Voyager	2007	Paperback	368	English	PS3614.O93 B53	9780007219179	813.6	21st Century > American fiction > English (North America) > Literature	86B294C2D1C7AF23212C3B8823EB0716	2017-12-25	17.53
3	The Thief Lord	Funke	Cornelia	https://corneliafunke.com/	The Chicken House	2003	Paperback	376	English	PZ7.F96624 T	043942089X	833.914	1900-1990 > 1945-1990 > German and Germanic > German fiction > Literature > Modern period (1900-)	9A38189963E92B4E96E3BA91C1E683A6	2005-11-08	18.24
4	The Thief Lord	Funke	Cornelia	https://corneliafunke.com/	The Chicken House	2008	Paperback	376	English	PZ7.F96624 T	9784555847001	833.914	1900-1990 > 1945-1990 > German and Germanic > German fiction > Literature > Modern period (1900-)	75576EC121D74E92CD7482469C37BDA7	2020-04-29	6.38
5	The Thief Lord	Funke	Cornelia	https://corneliafunke.com/	The Chicken House	2008	Paperback	376	English	PZ7.F96624 T	9784555847001	833.914	1900-1990 > 1945-1990 > German and Germanic > German fiction > Literature > Modern period (1900-)	AD196E2A6D00E5D2997A401E610AC9F1	2016-05-03	9.05
6	13 At Dinner	Asimov	A. A.	http://clarkefoundation.org/	Airmont Publishing Company	1956	Hardcover	142	English	HN57 .L8	910714501X	398.21	1900-1944 > 20th Century > English poetry > English {except North American} > Literature > Modern period 1900-	ED588947C19FEE384EA73FE2259143CC	1960-03-20	5.19
7	The English Teacher	Narayan	R. K.		Indian Thought Publications	2007	Paperback	184	English	PR9499.N3 E5	8185986037	823	English fiction > English {except North American} > Literature	12E48346FE597399206E600E0C590C94	2009-01-20	18.06
8	The English Teacher	Narayan	R. K.		Indian Thought Publications	2009	Paperback	184	English	PR9499.N3 E5	9788996420242	823	English fiction > English {except North American} > Literature	C8838CCCD65B53BDC2EFED3A7374FB37	2011-10-13	9.02
9	The Wheel of Time Companion: The People, Places and History of the Bestselling Series	Jordan	Robert		Tor Books	2015	Hardcover	816	English	PS3560.O7617 W47	0765314614	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	240C22271E590DF846EBE2FD15737EBE	2020-07-01	5.34
10	The Wheel of Time Companion: The People, Places and History of the Bestselling Series	Jordan	Robert		Tor Books	2015	Hardcover	816	English	PS3560.O7617 W47	0765314614	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	B697951B1B427ED66E358D82D6236031	2016-02-25	6.64
11	Flight of the Nighthawks	Feist	Raymond E	https://raymondefeist.com/	Harper Voyager	2006	Hardcover	368	English	PS3556.E446 F58	9780060792787	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	3AB893105A3B9D8D8C6409862338ECCE	2017-08-09	9.11
12	Forms that Work: Designing Web Forms for Usability	Jarrett	Caroline		Morgan Kaufmann	2008	Paperback	199	English	TK5105.888 .J37	0080948480	5	Computer programming, programs, data, security > Computing and Information > Information	3E7BF7E48D3F4198DA8B2D681F7FD26F	2017-08-13	15.22
13	The Hunger Games	Collins	Suzanne	http://www.suzannecollinsbooks.com/	Scholastic Press	2008	Hardcover	384	English	PZ7.C6837	0439023483	813.6	21st Century > American fiction > English (North America) > Literature	32CEE950DEF6C99FC8E684C46048F0E7	2009-03-10	6.28
