id	Title	Author Last Name	Author First Name	Author Website	Publisher	Publication Year	Media	Weight	Height	Thickness	Length	Page Count	Languages	LC Classification	ISBN	Dewey Decimal	Dewey Wording
872	The Left Hand of Darkness	Le Guin	Ursula K.	https://www.ursulakleguin.com/	HarperCollins	1980	Hardcover	0.7 pounds	8.4 inches	0.9 inches	5.6 inches	213	English	PS3562.E42	0060125748	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
99	Prelude to Foundation	Asimov	Isaac	\N	HarperCollins	1994	Paperback	0.53 pounds	6.93 inches	1.02 inches	4.41 inches	464	English	PS3551.S5 P7	0586071113	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
1347	Return of the Thief	Turner	Megan Whalen	http://meganwhalenturner.org/	HarperCollins Canada	2020	Hardcover	1.7 pounds	9 inches	1.58 inches	6 inches	\N	English	PZ7.T85565 R	0062874470	813.6	21st Century > American fiction > English (North America) > Literature
16	The History of Akbar, Volume 2	Abu'l-Fazl	\N	\N	Harvard University Press	2016	Hardcover	\N	8.2 inches	1.3 inches	5.5 inches	592	English	DS461.3 .A2313	0674504941	\N	\N
229	Komarr	Bujold	Lois McMaster	http://www.dendarii.com/	Easton Press	1998	Hardcover	\N	\N	\N	\N	\N	\N	PS3552.U397 K66	\N	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
1219	FirstBorn & Defending Elysium	Sanderson	Brandon	https://www.brandonsanderson.com/	Dragonsteel Entertainment	2013	Hardcover	\N	\N	\N	\N	160	English	\N	1938570006	\N	\N
1	Flatland: A Romance of Many Dimensions	Abbott	Edwin A.	\N	Dover Publications	1992	Paperback	\N	8.28 inches	0.26 inches	5.27 inches	96	\N	QA699 .A13	048627263X	530.11	Natural sciences and mathematics > Physics > Physics > Relativity > Theoretical Physics
2	The Qur'an	Abdel Haleem	M.A.S.	\N	Oxford University Press	2010	Hardcover	2.5 pounds	9.5 inches	6.6 inches	1.8 inches	672	English	BP109	019957071X	297.122521	Islam, Babism, Bahai Faith > Koran > Other Religions > Religions > Sacred Books and Scriptures > Textual Sources > Translations
3	Before They Are Hanged	Abercrombie	Joe	https://joeabercrombie.com/	Pyr	2008	Paperback	1.57 pounds	9 inches	1.18 inches	6.6 inches	543	English	PR6101.B49 B45	1591026415	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
4	Best Served Cold	Abercrombie	Joe	https://joeabercrombie.com/	Orbit	2010	Paperback	0.93 pounds	4.25 inches	6.73 inches	1.5 inches	899	English	PR6101.B49 B47	0316044954	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
5	Half a King	Abercrombie	Joe	https://joeabercrombie.com/	Harper Voyager	2014	Hardcover	0.6 pounds	6.38 inches	9.06 inches	1.38 inches	384	English	PR6101.B49 H34	0007550200	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
6	Last Argument of Kings	Abercrombie	Joe	https://joeabercrombie.com/	Pyr	2008	Paperback	1.84 pounds	8.98 inches	1.36 inches	5.98 inches	639	English	PR6101.B49 L37	1591026903	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
7	Red Country	Abercrombie	Joe	https://joeabercrombie.com/	Orbit	2013	Paperback	1.14 pounds	\N	\N	\N	480	English	PR6101.B49 R43	0316187208	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
8	The Blade Itself	Abercrombie	Joe	https://joeabercrombie.com/	Pyr	2007	Paperback	1.54 pounds	8.96 inches	1.08 inches	6.08 inches	531	English	PR6101.B49 B57	159102594X	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
9	The Heroes	Abercrombie	Joe	https://joeabercrombie.com/	Orbit	2011	Hardcover	1.75 pounds	6.25 inches	9.5 inches	1.75 inches	560	English	PR6101.B49 H47	0316044989	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
10	A Shadow in Summer	Abraham	Daniel	https://www.danielabraham.com/	Tor Books	2006	Hardcover	1.3 pounds	9.4 inches	1.2 inches	6.3 inches	336	English	PS3601.B677 S53	0765313405	813.6	21st Century > American fiction > English (North America) > Literature
11	The Dragon's Path	Abraham	Daniel	https://www.danielabraham.com/	Orbit	2011	Paperback	1.48 pounds	9.22 inches	1.67 inches	5.98 inches	592	English	PS3601.B677 D73	9780316080682	813.6	21st Century > American fiction > English (North America) > Literature
12	The King's Blood	Abraham	Daniel	https://www.danielabraham.com/	Orbit	2012	Paperback	1.25 pounds	9.16 inches	1.54 inches	6.01 inches	528	English	PS3601.B677 K56	9780316080774	813.6	21st Century > American fiction > English (North America) > Literature
13	The Tyrant's Law	Abraham	Daniel	https://www.danielabraham.com/	Orbit	2013	Paperback	1.2 pounds	9.1 inches	1.5 inches	6 inches	528	English	PS3601.B677 T97	0316080705	813.6	21st Century > American fiction > English (North America) > Literature
14	The Widow's House	Abraham	Daniel	https://www.danielabraham.com/	Orbit	2014	Paperback	\N	\N	\N	\N	544	English	PS3601.B677 W53	031620398X	813.6	21st Century > American fiction > English (North America) > Literature
15	The History of Akbar, Volume 1	Abu'l-Fazl	\N	\N	Harvard University Press	2015	Hardcover	\N	8.23 inches	1.44 inches	5.51 inches	656	English	DS461 .A2313	0674427750	954.02	647-1875 > Asia > History and Geography > India and South Asia
17	The History of Akbar, Volume 3	Abu'l-Fazl	\N	\N	Harvard University Press	2017	Hardcover	\N	1.75 inches	8.5 inches	5.5 inches	704	English	\N	0674659821	\N	\N
18	The History of Akbar, Volume 4	Abu'l-Fazl	\N	\N	Harvard University Press	2018	Hardcover	\N	5.59 inches	8.27 inches	1.44 inches	656	English	\N	0674975030	\N	\N
19	The History of Akbar, Volume 5	Abu'l-Fazl	\N	\N	Harvard University Press	2019	Hardcover	\N	5.25 inches	8 inches	\N	784	English	\N	0674983955	\N	\N
20	The History of Akbar, Volume 6	Abu'l-Fazl	\N	\N	Harvard University Press	2020	Hardcover	\N	5.25 inches	8 inches	\N	688	English	DS461.3 .A2313	067498613X	\N	\N
21	The History of Akbar, Volume 7	Abu'l-Fazl	\N	\N	Harvard University Press	2021	Hardcover	\N	7.99211 inches	0.59055 inches	5.23621 inches	\N	English	\N	0674244168	\N	\N
22	The History of Akbar, Volume 8	Abu'l-Fazl	\N	\N	Harvard University Press	2022	Hardcover	1.04940036712 pounds	\N	\N	\N	672	English	\N	0674244176	\N	\N
23	Things Fall Apart	Achebe	Chinua	\N	Fawcett	1985	Paperback	0.2 pounds	6.9 inches	0.5 inches	4.1 inches	190	English	PR9387.A3	0449208109	823	English fiction > English {except North American} > Literature
24	The Zookeeper's Wife: A War Story	Ackerman	Diane	http://www.dianeackerman.com/	W. W. Norton & Company	2007	Hardcover	1.2 pounds	5.9 inches	8.6 inches	1.2 inches	368	English	D804.Z33 A25	9780393061727	940.5318350943840	1918- > Europe > Europe > History and Geography > Holocaust > Social, political, economic history; Holocaust > World War II
25	Dirk Gently's Holistic Detective Agency	Adams	Douglas	https://www.douglasadams.com/	Tor Books	1988	Paperback	0.26 pounds	6.85 inches	0.71 inches	4.33 inches	256	English	PR6051.D3352	0330301624	813	American fiction > English (North America) > Literature
53	The El Dorado Adventure	Alexander	Lloyd	\N	Dutton Juvenile	1987	Hardcover	0.9 pounds	8.4 inches	0.9 inches	5.7 inches	176	English	PZ7.A3774 E	0525443134	303	Social Processes > Social Sciences > Social sciences
26	Last Chance to See	Adams	Douglas	https://www.douglasadams.com/	Ballantine Books	1992	Paperback	0.7 pounds	8.1 inches	0.6 inches	5.1 inches	256	\N	QL82 .A33	0345371984	591.529	Abode; Migration > Habits and behavior > Natural sciences and mathematics > Specific topics in natural history of animals > Zoology
27	The Long Dark Tea-Time Of The Soul	Adams	Douglas	https://www.douglasadams.com/	Pan Books	1988	Paperback	0.3 pounds	6.97 inches	0.87 inches	4.37 inches	256	English	PR6051.D3352	0330309552	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period
28	The Salmon of Doubt	Adams	Douglas	https://www.douglasadams.com/	Random House	2003	Paperback	0.37 pounds	6.85 inches	0.98 inches	4.17 inches	\N	English	PR6051.D3352 S25	0345459350	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period
29	Epic: Legends of Fantasy	Adams	John Joseph	https://www.johnjosephadams.com/	Tachyon Publications	2012	Paperback	\N	6 inches	8.9 inches	1.7 inches	608	English	PR830.F3 E653	1616960841	813.0876608	Adventure fiction > American fiction > By type > Collections > English (North America) > Fantasy > Genre fiction > Literature > Speculative fiction
30	Tales from Watership Down	Adams	Richard	\N	Alfred A. Knopf	1996	Hardcover	1.23 pounds	9.49 inches	6.3 inches	0.83 inches	192	English	PR6051.D345 T3	0091801664	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period
31	Watership Down	Adams	Richard	\N	Scribner	1996	Hardcover	1.59 pounds	6.12 inches	9.25 inches	1.3 inches	448	English	PZ10.A197	068483605X	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period
32	The Angel of the Crows	Addison	Katherine	https://www.katherineaddison.com/	Tor Books	2020	Hardcover	\N	8.6 inches	1.37 inches	5.88 inches	448	English	PS3601.D4655	0765387395	813.6	21st Century > American fiction > English (North America) > Literature
33	The Goblin Emperor	Addison	Katherine	https://www.katherineaddison.com/	Tor Books	2014	Hardcover	1.13 pounds	7.43 inches	8.48 inches	1.48 inches	448	English	PS3601.D4655	076532699X	813.6	21st Century > American fiction > English (North America) > Literature
34	The Grief of Stones	Addison	Katherine	https://www.katherineaddison.com/	Tor Books	2022	Hardcover	0.7 pounds	8.5499829 inches	1.0499979 inches	5.6999886 inches	245	English	PS3601.D4655 G75	1250813891	813.6	21st Century > American fiction > English (North America) > Literature
35	The Witness for the Dead	Addison	Katherine	https://www.katherineaddison.com/	Tor Books	2021	Hardcover	\N	8.25 inches	\N	5.38 inches	\N	English	PS3601.D4655 W58	0765387425	813.6	21st Century > American fiction > English (North America) > Literature
36	How to Read a Book	Adler	Mortimer Jerome	\N	Fine Communications	1997	Hardcover	1 pound	6 inches	8.75 inches	1 inch	\N	English	PN83 .A43	1567310109	28	Books and Reading > Information > Library and Information Sciences
37	Throne of the Crescent Moon	Ahmed	Saladin	\N	DAW	2012	Hardcover	1 pound	\N	\N	\N	288	English	PS3601.H582 T48	0756407117	813.6	21st Century > American fiction > English (North America) > Literature
38	Past Eight O'Clock	Aiken	Joan	https://www.joanaiken.com/	Jonathan Cape	1986	Hardcover	1.01 pounds	9.76 inches	0.71 inches	6.69 inches	128	English	PZ7.A2695 P	0224028561	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period
39	Interaction of Color: 50th Anniversary Edition	Albers	Josef	https://www.albersfoundation.org/	Yale University Press	2013	Paperback	1.06262810284 pounds	9.25 inches	0.75 inches	6 inches	192	English	ND1489 .A4	0300179359	701.85	Color > Inherant features > Modified subdivisions of the arts > Philosophy and theory of fine and decorative arts > The arts
40	Left to Their Own Devices: How Digital Natives Are Reshaping the American Dream	Albright	Julie M.	\N	Prometheus Books	2019	Hardcover	\N	6 inches	9 inches	\N	304	English	HQ799.M352 .A437	1633884449	302.23	Communication > Media (Means of communication) > Social Interaction > Social Sciences > Social sciences
41	Little Women	Alcott	Louisa May	\N	Signet Classics	2004	Paperback	0.45 pounds	6.8 inches	1.1 inches	4.1 inches	464	English	PS1017 .L5	0451529308	813.4	American fiction > English (North America) > Later 19th Century 1861-1900 > Literature
42	A Pattern Language: Towns, Buildings, Construction	Alexander	Christopher	\N	Oxford University Press	1977	Hardcover	2.13 pounds	5.7 inches	7.9 inches	2 inches	1216	English	NA2500.A445	0195019199	720.1	Architecture > Architecture - modified standard subdivisions > The arts > Theory And Instruction
43	Dream-of-Jade: The Emperor's Cat	Alexander	Lloyd	\N	Cricket Books	2005	Hardcover	0.84216584084 pounds	10.5 inches	0.5 inches	8.5 inches	48	English	PZ7.A3774 D	0812627369	519	Applied Mathematics, Probabilities > Mathematics > Natural sciences and mathematics
44	Gypsy Rizka	Alexander	Lloyd	\N	Dutton Juvenile	1999	Hardcover	1 pound	8.76 inches	0.9 inches	5.84 inches	144	English	PZ7.A3774 G	0525461213	808.8	Anthologies & Collections > By Topic > Literature > Rhetoric and anthologies
45	Taran Wanderer	Alexander	Lloyd	\N	Yearling	1969	Paperback	0.38 pounds	5.13 inches	7.63 inches	0.66 inches	272	English	PZ7.A3774 T	0440484839	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
46	The Arkadians	Alexander	Lloyd	\N	Puffin	1998	Paperback	0.5 pounds	7.74 inches	0.76 inches	5.09 inches	288	English	PZ7.A3774 A	0140380736	818	Authors, American and American miscellany > English (North America) > Literature
