Title	Author First Name	Author Last Name	Author Website	Publisher	Publication Year	ISBN	Barcode	Acquisition Date	Acquisition Price
Black Powder War	Naomi	Novik	http://naominovik.com/	Harper Voyager	2007	978-0-0-0721917-9	1C05-30E6-E0B4-6D87	2016-07-10	$14.25
Black Powder War	Naomi	Novik	http://naominovik.com/	Harper Voyager	2007	978-0-0-0721917-9	0216-8EC4-4A38-1B1D	2009-04-05	$13.58
Black Powder War	Naomi	Novik	http://naominovik.com/	Harper Voyager	2007	978-0-0-0721917-9	9FB8-E5E3-BB9D-4672	2014-12-07	$15.33
The Thief Lord	Cornelia	Funke	https://corneliafunke.com/	The Chicken House	2003	04394-2-089-X	B5FE-BCEC-DDA5-2189	2016-01-07	$18.60
The Thief Lord	Cornelia	Funke	https://corneliafunke.com/	The Chicken House	2016	978-59-8-492967-9	0B16-2D30-4BE6-2382	2017-07-12	$7.91
The English Teacher	R. K.	Narayan		Indian Thought Publications	2007	81-8-598603-7	F089-5171-B780-5C76	2017-04-06	$18.60
The Wheel of Time Companion: The People, Places and History of the Bestselling Series	Robert	Jordan		Tor Books	2015	076-53-1461-4	E274-61EF-F369-1423	2020-03-09	$5.50
Flight of the Nighthawks	Raymond E	Feist	https://raymondefeist.com/	Harper Voyager	2006	978-006-07-9278-7	D6EB-086A-677C-9EE4	2007-03-20	$13.49
Forms that Work: Designing Web Forms for Usability	Caroline	Jarrett		Morgan Kaufmann	2008	00-80948-48-0	7C94-BD8D-25DB-CD60	2016-10-28	$7.33
The Hunger Games	Suzanne	Collins	http://www.suzannecollinsbooks.com/	Scholastic Press	2008	0-43902-348-3	86EB-E7D2-284F-4863	2019-05-17	$12.33
The Two Princesses of Bamarre	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins	2001	00-602-9315-2	464D-8CE3-8BEC-FD03	2012-05-31	$12.24
The Two Princesses of Bamarre	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins	2001	00-602-9315-2	8206-A1EE-CC01-1BEE	2008-12-06	$12.04
One Flew Over the Cuckoo's Nest	Ken	Kesey		Signet	1963	045-1163-96-6	77E2-80F6-538F-B018	2009-03-12	$19.64
Permanent Record	Edward	Snowden		Metropolitan Books	2019	125-0-23723-8	7F97-28F9-C759-EB8C	2019-03-29	$12.05
Fractals: The Patterns of Chaos: Discovering a New Aesthetic of Art, Science, and Nature	John	Briggs		Simon & Schuster	1992	06-717421-7-5	90B3-B6EB-FD3C-B1F1	2005-09-05	$10.47
Trains	Byron	Barton		T.Y. Crowell Junior Books	1986	06940-006-1-2	0F24-7CC8-CE8B-E049	2006-10-13	$14.06
Blue Highways: A Journey into America	William Least	Heat-Moon		Back Bay Books	1999	0-31-635329-9	FBE4-9998-FDA9-99DF	1999-10-22	$8.07
Nemesis Games	James S.A.	Corey	https://www.jamessacorey.com/	Orbit	2015	0-31-621758-1	C9F2-8AC9-5BC3-28EC	2019-06-30	$11.34
The Creeping Shadow	Jonathan	Stroud	http://jonathanstroud.com/	Disney-Hyperion	2016	1-484709-67-5	AF8B-13CE-1B1C-FCE9	2019-07-05	$10.16
The Tales of Beedle the Bard: The Illustrated Edition	J. K.	Rowling	https://jkrowling.com/	Arthur A. Levine Books	2018	978-133-8-26218-6	60B9-DC65-9F8A-35AB	2018-10-26	$16.46
Orsinian tales	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Bantam Books	1977	05531-07-05-4	F12C-E004-B786-6339	2000-09-06	$5.11
Fly Trap	Frances	Hardinge	http://www.franceshardinge.com/	HarperCollins	2011	00-60880-44-9	5AA7-88F7-E3BF-53E6	2022-08-18	$16.24
